No	Q	A	B	C	D	E	F	ANS1	ANS2	ANS3	ANS4	ANS5
1	She's ________ university teacher.	a	an 	the 	one			A				
2	I like ________ small animals. 	the	_ (nothing)	every	all			B	D			
3	Is this coat ________.?	yours	your	the yours				A				
4	Is Diana________.?	a friend of yours	a your friend	your friend				A	C			
5	Who are ________ people over there? 	that	the	these	those			B	D			
6	________ is your phone number? 	Which	What	How				B				
7	Could I have ________ drink? 	other	an other	another				B				
8	There aren't ________ for everybody. 	chairs enough	enough chairs	enough of chairs				B				
9	They’re ________ young to get married. 	too much	too	very too				B				
10	Most ________ like traveling. 	of people	of the people	people				C				
11	Ann and Peter phone ________ every day. 	them	themself	themselves	each other			D				
12	It's ________ weather.	terrible	a terrible 	the terrible				A				
13	The plural of car is cars. Which of these are correct plurals?	journeys	ladys	minuts	sandwichs 	babies		A	E			
14	Which of these is/are correct?	happier	more happier	unhappier	beautifuller			A	C			
15	This is ________ winter for 20 years.	the more bad	worse	the worse	the worst	worst		E				
16	She's much taller ________ me.	than	as 	that				A				
17	He lives on the same street ________ me. 	that	like	as	than			C				
18	Her eyes ________ a very light blue.	ar	have 	has				A				
19	________ help me 	Can you to	Do you can	Can you				C				
20	You ________ worry about it. 	not must	don't must	must not	mustn't			C	D			
21	It ________ again. It ________ all the time here in the winter. 	"'s raining, 's raining"	"rains, rains"	"rains, 's raining "	"'s raining, rains"			D				
22	I ________ she ________ you.	"think, likes"	"am thinking, is liking "	"think, is liking"	"am thinking, likes"			A				
23	Who ________ the window? 	open	opened	did opened				B				
24	Why ________?	those men are laughing 	are laughing those men 	are those men laughing				C				
25	What ________?	does she want	does she wants 	she wants				A				
26	I didn't ________ he was at home. 	to think	think	thinking 	thought			B				
27	________ a hole in my sock.	There's 	There is 	It's	It is 	Is		A	B			
28	I'll see you ________ Tuesday afternoon. 	at	on	in				B				
29	What time did you arrive ________ the station?	at	to 	_				A				
1	She's ________ university teacher.	a	an 	the 	one			A				
