No	Q	A	B	C	D	E	F	ANS1	ANS2	ANS3	ANS4	ANS5
31	I went out without ________ money. 	some	any					B				
32	He's got ________ money. 	much	many	a lot of	lots of			C	D			
33	'Who's there?' '________	It's me	It is I	Me	I			A	C			
34	"Although he felt very ________, he smiled ________ "	"angrily, friendly"	"angry, friendly"	"angry, in a friendly way"				C				
35	I ________ to America.	have often been	often have been 	have been often				A				
36	My mother ________ my birthday.	always forgets	always is forgetting 	forgets always				A				
37	You look ________ a teacher.	like	as	the same like				A				
38	How many brothers and sisters ________?	have you got 	do you have	are you having				A	B			
39	Good! I ________ work tomorrow. 	mustn't	don't have to	haven't got to				B	C			
40	I ________ smoke.	_ (nothing)	use to	used to				A	C			
41	Andrew ________ to see us this evening.	will come	comes	is coming				A	C			
42	Alice ________ have a baby. 	will	shall	is going to				C				
43	I knew that he ________ waiting for somebody. 	is	was	would				B				
44	________ Gloria last week? 	Have you seen	Did you see	Were you seeing				B				
45	She's an old friend – I ________ her ________ years.	"'ve known, for"	"know, for"	"'ve known, since"	"know, since"			A				
46	We met when we ________ in France. 	studied	were studying	had studied				B				
47	As soon as she came in I knew I ________ her before. 	have seen	saw	had seen				C				
48	This picture ________ by a friend of my mother's. 	is painting	is painted	was painting	was painted			D				
49	Can you ________ ?	make me some tea	make some tea for me 	make for me some tea				A	B			
50	Try ________ be late.	not to	to not					A				
51	I went to London ________ clothes.	for buy	for to buy 	for buying 	to buy			D				
52	You can't live very long without ________.	to eat	eat	eating	you eat			C				
53	"I enjoy ________ , but I wouldn't like ________ it all my life. "	"to teach, to do"	"teaching, doing"	"to teach, doing"	"teaching, to do"			D				
54	Her parents don't want ________ married.	her to get	her get	that she get 	that she gets			A				
55	I'm not sure what ________ 	do they want?	do they want.	they want.				C				
56	The policeman ________ me not to park there.	asked	said	told	advised			A	C	D		
57	I ________ you if you ________ that again. 	"hit, say"	"'ll hit, 'll say"	"hit, 'll say"	"'ll hit, say"			D				
58	It would be nice if we ________ a bit more room. 	would hav	had	have				B				
59	"If you ________ me, I ________ in real trouble last year. "	"didn't help, would have been"	"hadn't helped, would have been"	"hadn't helped, would be"	"didn't help, would be"			B				
60	There's the man ________ took your coat. 	which	who	that	_			B	C			
