No	Q	A	B	C	D	E	F	ANS1	ANS2	ANS3	ANS4	ANS5
61	My family ________ thinking of moving to Birmingham.	is 	are					A	B			
62	We watched a ________ on TV last night.	war film	war's film 	film of war				A				
63	He was wearing ________ riding boots. 	red old Spanish leather	old leather red Spanish	old red Spanish leather	Spanish red old leather			C				
64	"________ he gets, ________"	"The richer, the more friends he has"	"Richer, more he has friends"	"Richer, more friends he has"	"The richer, the more he has friends"			A				
65	It's ________ if you take the train.	quicker	the quicker	quickest	the quickest			A	C			
66	He ________ very annoying.	's	's being					A	B			
67	That ________ be Roger at the door – it's too early.	can't	mustn't	couldn't				A	C			
68	"At last, after three days, they ________ get to the top of the mountain. "	could	managed to	succeeded to	were able to			B	D			
69	It was crazy to drive like that. You ________ killed somebody. 	may have	might have	could have	can have			B	C			
70	I wonder if John ________ this evening.	will phone	phones					A				
71	Who ________ you that ring? 	’s given	gave					B				
72	He ________ quite different since he ________ married. 	"is, has got"	"has been, has got"	"is, got"	"has been, got"			C	D			
73	This is the first time I ________ a sports car.	've driven	'm driving 	drive				A				
74	On her birthday ________	she was given a new car	a new car was given to her					A				
75	We can't use the sports hall yet because it ________ 	is still built	is still building	is still being built				C				
76	l look forward ________ you soon. 	seeing	to seeing	to see				B				
77	"If you have trouble going to sleep, try ________ a glass of milk before bedtime."	drinking	to drink 	drink				A				
78	"This is my friend Joe. I ________ met, have you?"	don't think you've	think you haven't					A				
79	How ...!	he works hard 	hard he works					B				
80	Which of these sentences are correct in spoken English?	Car's running badly. 	Seen Peter? 	"Can't come in here, sorry."	Careful what you say.	Lost my glasses.	Have heard of her.	A	B	C	D	E
81	"Nobody phoned, did ________ ? "	he	she	they	it	he or she 	anybody	C				
82	"If you were ever in trouble, I would give you all the help you .... "	will need	would need	need	needed			D				
83	My wife will be upset ________	if I don't get back tomorrow	unless I get back tomorrow					A				
84	Tell me at once ________ Margaret arrives.	if	when 	in case				A	B			
85	"It's time you ________ home, but I'd rather you ________ here. "	"go, stay"	"went, stayed"	"go, stayed"	"went, stay"			B				
86	I wish I ________ more time.	had	have 	would have 	will have			A				
87	"John Hastings, ________ has just come to live in our street. "	that I was at school with	I was at school with	with who I was at school	with whom I was at school			D				
88	"She keeps tapping her fingers, ________ gets on my nerves."	which	what	that which				A				
89	Can you finish the job ________ Friday? 	till 	until	by	for			C	D			
90	There's a supermarket ________ our house. 	in front of	opposite	facing				B	C			
